Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes,receipt_date,approval_date,review_time_days,log_review_time_days,therapeutic_area,classification_confidence,classification_method,review_type_simplified,therapeutic_area_factor,review_type_factor,regulatory_era_factor,review_time_days_response,log_review_time_days_response
Moctanin,monooctanoin,Ascot Hospital,NDA,19368,NA,NA,Liquid,"Perfusion, Biliary",NA,NA,NA,NA,9/25/1984,10/29/1985,1985,"indicated as a solubilizing agent for cholesterol (radiolucent) gallstones retained in the biliary tract of patients following cholecystectomy, when other means of reducing cholesterol stones retained in the common bile duct have failed or cannot be undertaken",NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-09-25,1985-10-29,399,5.988961416889864,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,399,5.988961416889864
Tambocor,flecainide acetate,Riker,NDA,18830,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/21/1982,10/31/1985,1985,"treatment of documented life-threatening ventricular arrhythmias, such as sustained ventricular tachycardia; symptomatic nonsustained ventricular tachycardia and frequent premature ventricular complexes",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-12-21,1985-10-31,1045,6.951772164398911,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1045,6.951772164398911
Cuprid,trientine hydrochloride,Merck Sharp & Dohme,NDA,19194,NA,NA,Capsule,Oral,NA,NA,NA,NA,1/6/1984,11/8/1985,1985,treatment of patients with Wilson's disease who are intolerant of penicillamine,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-06,1985-11-08,672,6.5102583405231496,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,672,6.5102583405231496
Femstat,butoconazole nitrate,Syntex,NDA,19215,NA,NA,Cream,Vaginal,NA,NA,NA,NA,1/23/1984,11/25/1985,1985,indicated for local treatment of vulvovaginal mycotic infections caused by Candida species,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-23,1985-11-25,672,6.5102583405231496,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,672,6.5102583405231496
Primaxin,"cilastatin sodium, imipenem",Merck Sharp & Dohme,NDA,50587,NA,NA,Powder,Intravenous,NA,NA,NA,NA,5/3/1984,11/26/1985,1985,"treatment of patients with the following infections caused by susceptible strains of designated microorganisms in: lower respiratory tract infections, urinary tract infections, intra-abdominal infections, gynecological infections, bacterial septicemia, bone and joint infections, skin and skin structure infections, endocarditis, polymicrobic infections",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-05-03,1985-11-26,572,6.349138991379798,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,572,6.349138991379798
Betagan,levobunolol hydrochloride,Allergan,NDA,19219,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,1/19/1984,12/19/1985,1985,has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma or ocular hypertension,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-19,1985-12-19,700,6.551080335043404,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,700,6.551080335043404
Versed,midazolam hydrochloride,Hoffmann-La Roche,NDA,18654,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/15/1982,12/20/1985,1985,"intramuscularly: for preoperative sedation and to impair memory of peri-operative events;  intravenously: as an agent for conscious sedation prior to short diagnostic or endoscopic procedures either alone or with a narcotic; intravenously: for induction of general anesthesia, before administration of other anesthetic agents",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-12-15,1985-12-20,1101,7.00397413672268,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1101,7.00397413672268
Suprol,suprofen,Ortho,NDA,18217,NA,NA,Capsule,Oral,NA,NA,NA,NA,10/23/1978,12/24/1985,1985,relief of mild to moderate pain; treatment of primary dysmenorrhea,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1978-10-23,1985-12-24,2619,7.870547844507712,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,2619,7.870547844507712
[drug marketed without a proprietary name],indium In 111 oxyquinoline,Amersham,NDA,19044,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/5/1983,12/24/1985,1985,"indicated for radiolabeling autologous leukocytes as an adjunct in the detection of inflammatory processes to which leukocytes migrate, such as those associated with abscesses or other infection, following reinjection and detection by appropriate imaging procedures",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-12-05,1985-12-24,750,6.620073206530356,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,750,6.620073206530356
Cordarone,amiodarone hydrochloride,Ives,NDA,18972,NA,NA,Tablet,Oral,NA,NA,NA,NA,3/14/1983,12/24/1985,1985,"indicated for the treatment of the following documented, life-threatening recurrent ventricular arrhythmias: recurrent ventricular fibrillation or recurrent hemodynamically unstable ventricular tachycardia, when these have not responded to documented aggregate doses of other available antiarrhythmics or when alternative agents could not be tolerated",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-03-14,1985-12-24,1016,6.923628628138427,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1016,6.923628628138427
Vasotec,enalapril maleate,Merck Sharp & Dohme,NDA,18998,NA,NA,Tablet,Oral,NA,NA,NA,NA,9/16/1983,12/24/1985,1985,treatment of hypertension,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-09-16,1985-12-24,830,6.721425700790643,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,830,6.721425700790643
Cesamet,nabilone,Eli Lilly,NDA,18677,NA,NA,Capsule,Oral,NA,NA,NA,NA,2/17/1982,12/26/1985,1985,for use in the treatment of nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-02-17,1985-12-26,1408,7.249925536717988,Oncology,high,indication_keyword_match,Standard,Oncology,Standard,Pre-PDUFA,1408,7.249925536717988
Omnipaque,iohexol,Sterling,NDA,18956,NA,NA,Solution,"Injection, Oral, Rectal",NA,NA,NA,NA,3/1/1983,12/26/1985,1985,"indicated for intrathecal administration including angiocardiography, cerebral and peripheral arteriography, digital subtraction angiography, urography, phlebography and lumbar myelography",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-03-01,1985-12-26,1031,6.93828448401696,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1031,6.93828448401696
Temovate,clobetasol propionate,Glaxo,NDA,19322,19323,NA,Cream,Topical,Ointment,Topical,NA,NA,8/30/1984,12/27/1985,1985,short term treatment of inflammatory and pruritic manifestations of moderate to severe corticosteroid-responsive dermatoses,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-08-30,1985-12-27,484,6.182084906716632,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,484,6.182084906716632
Cefotan,cefotetan disodium,Stuart,NDA,50588,NA,NA,Injectable,Injection,NA,NA,NA,NA,1/20/1984,12/27/1985,1985,"indicated for the treatment of the following infections when caused by susceptible strains of designated organisms: urinary tract infections, lower respiratory infections, skin and skin structure infections; gynecologic infections, intra-abdominal infections, bone and joint infections",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-20,1985-12-27,707,6.561030665896573,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,707,6.561030665896573
Dormalin,quazepam,Schering,NDA,18708,NA,NA,Tablet,Oral,NA,NA,NA,NA,4/9/1982,12/27/1985,1985,"treatment of insomnia characterized by difficulty in falling asleep, frequent nocturnal awakenings and/or early morning awakenings",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-04-09,1985-12-27,1358,7.213768308118642,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1358,7.213768308118642
Carnitor,L-carnitine,Sigma-Tau,NDA,18948,NA,NA,Tablet,Oral,NA,NA,NA,NA,2/8/1983,12/27/1985,1985,treatment of primary systemic carnitine deficiency,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-02-08,1985-12-27,1053,6.959398512133975,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1053,6.959398512133975
Mexitil,mexiletine hydrochloride,Boehringer Ingelheim Pharmaceuticals,NDA,18873,NA,NA,Capsule,Oral,NA,NA,NA,NA,10/1/1982,12/30/1985,1985,"for the suppression of symptomatic ventricular arrhythmias, including frequent premature ventricular contractions, unifocal or multifocal, couplets and ventricular tachycardia",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-10-01,1985-12-30,1186,7.078341579557671,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1186,7.078341579557671
Wellbutrin,bupropion hydrochloride,Burroughs Wellcome,NDA,18644,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/23/1981,12/30/1985,1985,"treatment of depression in patients who fail to respond adequately to, or who cannot tolerate, alternative antidepressant treatments",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1981-12-23,1985-12-30,1468,7.291656209174461,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1468,7.291656209174461
Virazole,ribavirin,Viratek,NDA,18859,NA,NA,For Solution,Inhalation,NA,NA,NA,NA,9/21/1982,12/31/1985,1985,indicated in the treatment of carefully selected hospitalized infants and young children with severe lower respiratory tract infections due to respiratory syncytial virus (RSV),NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-09-21,1985-12-31,1197,7.087573705557973,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1197,7.087573705557973
Isovue,iopamidol,Squibb,NDA,18735,NA,NA,Injectable,Injection,NA,NA,NA,NA,3/4/1983,12/31/1985,1985,"indicated for lumbar, thoracic, cervical and total columnar myelography, coronary angiography and ventriculography, peripheral arteriography and ventriculography, peripheral arteriography, cerebral arteriography and CT scanning of the head and body",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-03-04,1985-12-31,1033,6.940222469119639,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1033,6.940222469119639
Orudis,ketoprofen,Wyeth,NDA,18754,NA,NA,Capsule,Oral,NA,NA,NA,NA,3/16/1982,1/9/1986,1986,treatment of signs and symptoms of osteoarthritis and rheumatoid arthritis,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-03-16,1986-01-09,1395,7.240649694255466,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1395,7.240649694255466
Nix,permethrin,Burroughs Wellcome,NDA,19435,NA,NA,Lotion,Topical,NA,NA,NA,NA,2/28/1985,3/31/1986,1986,single-application treatment of infestation with Pediculus humanus capitis (the head louse) and its nits (eggs),NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1985-02-28,1986-03-31,396,5.981414211254481,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,396,5.981414211254481
Intron-A,interferon alfa-2b,Schering,BLA,103132,NA,NA,Injectable,Injection,NA,NA,NA,NA,10/4/1983,6/4/1986,1986,treatment of patients 18 years of age or older with hairy cell leukemia,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-10-04,1986-06-04,974,6.881411303642535,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Pre-PDUFA,974,6.881411303642535
Roferon-A,interferon alfa-2a,Hoffmann-La Roche,BLA,103145,NA,NA,Injectable,Injection,NA,NA,NA,NA,10/24/1984,6/4/1986,1986,treatment of patients 18 years of age or older with hairy cell leukemia,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-10-24,1986-06-04,588,6.376726947898627,Oncology,high,indication_keyword_match,Priority,Oncology,Priority,Pre-PDUFA,588,6.376726947898627
Orthoclone OKT3,muromonab-CD3,Ortho Pharms,BLA,103135,NA,NA,Injectable,Injection,NA,NA,NA,NA,3/29/1984,6/19/1986,1986,treatment of acute allograft rejection in renal transplant patients,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,Biologic product assigned new license number and now referenced by BLA 103463,1984-03-29,1986-06-19,812,6.699500340161678,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,812,6.699500340161678
Buspar,buspirone hydrochloride,Bristol-Myers,NDA,18731,NA,NA,Tablet,Oral,NA,NA,NA,NA,12/15/1982,9/29/1986,1986,management of anxiety disorders or the short term relief of the symptoms of anxiety,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1982-12-15,1986-09-29,1384,7.232733136177615,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1384,7.232733136177615
Tegison,etretinate,Hoffmann-La Roche,NDA,19369,NA,NA,Capsule,Oral,NA,NA,NA,NA,12/19/1984,9/30/1986,1986,"treatment of severe recalcitrant psoriasis, including erythrodermic and generalized pustular types",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-12-19,1986-09-30,650,6.476972362889683,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,650,6.476972362889683
Pepcid,famotidine,Merck Sharp & Dohme,NDA,19462,NA,NA,Tablet,Oral,NA,NA,NA,NA,6/24/1985,10/15/1986,1986,short term treatment of acute duodenal ulcer; maintenance therapy for duodenal ulcer patients at reduced dosage after healing of active ulcer; treatment of pathological hypersecretory conditions such as Zollinger-Ellison syndrome,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1985-06-24,1986-10-15,478,6.169610732491456,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,478,6.169610732491456
Tenex,guanfacine hydrochloride,Robins,NDA,19032,NA,NA,Tablet,Oral,NA,NA,NA,NA,9/14/1983,10/27/1986,1986,indicated in the management of hypertension,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-09-14,1986-10-27,1139,7.037905963447182,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1139,7.037905963447182
Provocholine,methacholine chloride,Hoffmann-La Roche,NDA,19193,NA,NA,For Solution,Inhalation,NA,NA,NA,NA,12/29/1983,10/31/1986,1986,indicated for the diagnosis of bronchial airway hyperreactivity in subjects who do not have clinically apparent asthma,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-12-29,1986-10-31,1037,6.9440872082295275,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1037,6.9440872082295275
Cibacalcin,calcitonin (human),Ciba-Geigy,NDA,18470,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/8/1980,10/31/1986,1986,treatment of symptomatic Paget’s disease of the bone,NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1980-12-08,1986-10-31,2153,7.674617497364363,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,2153,7.674617497364363
Technescan Hida,technetium Tc-99m lidofenin,Merck Sharp & Dohme,NDA,18489,NA,NA,Injectable,Injection,NA,NA,NA,NA,5/6/1980,10/31/1986,1986,indicated as a hepatobiliary imaging agent,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1980-05-06,1986-10-31,2369,7.7702232041587855,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,2369,7.7702232041587855
Noroxin,norfloxacin,Merck Sharp & Dohme,NDA,19384,NA,NA,Tablet,Oral,NA,NA,NA,NA,1/14/1985,10/31/1986,1986,Treatment of adults with complicated and uncomplicated urinary tract infections caused by susceptible strains of microorganisms,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1985-01-14,1986-10-31,655,6.484635235635252,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,655,6.484635235635252
Lamprene,clofazimine,Ciba-Geigy,NDA,19500,NA,NA,Capsule,Oral,NA,NA,NA,NA,7/1/1985,12/15/1986,1986,"indicated in the treatment of lepromatous leprosy, including dapsone-resistant lepromatous leprosy and lepromatous leprosy complicated by erythema nodosum leprosum",NA,Priority,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1985-07-01,1986-12-15,532,6.2766434893416445,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,532,6.2766434893416445
Enkaid,encainide hydrochloride,Bristol-Myers,NDA,18981,NA,NA,Capsule,Oral,NA,NA,NA,NA,1/13/1984,12/24/1986,1986,for the treatment of documented life threatening arrhythmias such as sustained ventricular tachycardia; for the treatment of patients with symptomatic nonsustained ventricular tachycardia and frequent premature ventricular complexes,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-01-13,1986-12-24,1076,6.98100574072173,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1076,6.98100574072173
Atrovent,ipratropium bromide,Boehringer Ingelheim Pharmaceuticals,NDA,19085,NA,NA,"Aerosol, Metered",Inhalation,NA,NA,NA,NA,8/1/1983,12/29/1986,1986,"indicated as a bronchodilator for maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease, including chronic bronchitis and emphysema",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-08-01,1986-12-29,1246,7.1276936993473985,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1246,7.1276936993473985
Alfenta,alfentanil hydrochloride,Janssen,NDA,19353,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/26/1984,12/29/1986,1986,indicated as an analgesic adjunct given in incremental doses in the maintenance of anesthesia with barbituate/nitrous oxide/oxygen; as an analgesic administered by continuous infusion with nitrous oxide/oxygen in the maintenance of general anesthesia; as a primary anesthetic agent for the induction of anesthesia in patients undergoing general surgery in which endotracheal intubation and mechanical ventilation are required,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-12-26,1986-12-29,733,6.597145701886651,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,733,6.597145701886651
Exirel,pirbuterol acetate,Pfizer,NDA,19009,NA,NA,"Aerosol, Metered",Inhalation,NA,NA,NA,NA,4/21/1983,12/30/1986,1986,"indicated for the relief of acute bronchospasm in patients with chronic reversible obstructive airway disease (extrinsic asthma, intrinsic asthma and chronic bronchitis/emphysema)",NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-04-21,1986-12-30,1349,7.207118856207756,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1349,7.207118856207756
Cyklokapron,tranexamic acid,KabiVitrum,NDA,19280,19281,NA,Tablet,Oral,Injectable,Injection,NA,NA,5/9/1984,12/30/1986,1986,indicated in patients with hemophilia for short term use (two to eight days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction,NA,Standard,Yes,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-05-09,1986-12-30,965,6.872128101338986,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,965,6.872128101338986
Brevibloc,esmolol hydrochloride,DuPont,NDA,19386,NA,NA,Injectable,Injection,NA,NA,NA,NA,1/8/1985,12/31/1986,1986,"indicated for the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable; also indicated in compensatory sinus tachycardia where, in the physician's judgment the rapid heart rate requires specific intervention",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1985-01-08,1986-12-31,722,6.582025138892826,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,722,6.582025138892826
Azactam,aztreonam,Squibb,NDA,50580,NA,NA,Injectable,Injection,NA,NA,NA,NA,12/29/1983,12/31/1986,1986,"treatment of the following infections caused by susceptible gram-negative microorganisms: Urinary Tract Infections (complicated and uncomplicated), Lower Respiratory Tract Infections, Septicemia, Skin and Skin Structure Infections, Intra-abdominal Infections, Gynecologic Infections; indicated for adjunctive therapy to surgery in the management of infections caused by susceptible organisms including abscesses, infections complicating hollow viscous perforations, cutaneous infections and infections of serous surfaces",NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-12-29,1986-12-31,1098,7.001245622069476,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,1098,7.001245622069476
Unasyn,"sulbactam sodium, ampicillin sodium",Pfizer,NDA,50608,NA,NA,Injectable,Injection,NA,NA,NA,NA,4/18/1985,12/31/1986,1986,treatment of infections due to susceptible of designated microorganisms for: Lower Respiratory Tract Infections; Skin and Skin Structure Infections; Urinary Tract Infections; Intra-Abdominal Infections; Gynecological Infections,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1985-04-18,1986-12-31,622,6.432940092739179,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,622,6.432940092739179
Ocufen,flurbiprofen sodium,Allergan,NDA,19404,NA,NA,Solution/Drops,Ophthalmic,NA,NA,NA,NA,12/19/1984,12/31/1986,1986,inhibition of intraoperative miosis,NA,Priority,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1984-12-19,1986-12-31,742,6.60934924316738,Other,high,indication_keyword_match,Priority,Other,Priority,Pre-PDUFA,742,6.60934924316738
Choletec,technetium Tc-99m mebrofenin,Squibb,NDA,18963,NA,NA,Injectable,Injection,NA,NA,NA,NA,3/4/1983,1/21/1987,1987,indicated as a hepatobiliary imaging agent,NA,Standard,No,N/A,N/A,N/A,N/A,N/A,N/A,NA,1983-03-04,1987-01-21,1419,7.257707677160043,Other,high,indication_keyword_match,Standard,Other,Standard,Pre-PDUFA,1419,7.257707677160043
